"","MCL1-DG_BC2CTUACXX_ACTTGA_L002_R1","MCL1-DH_BC2CTUACXX_CAGATC_L002_R1","MCL1-DI_BC2CTUACXX_ACAGTG_L002_R1","MCL1-DJ_BC2CTUACXX_CGATGT_L002_R1","MCL1-DK_BC2CTUACXX_TTAGGC_L002_R1","MCL1-DL_BC2CTUACXX_ATCACG_L002_R1","MCL1-LA_BC2CTUACXX_GATCAG_L001_R1","MCL1-LB_BC2CTUACXX_TGACCA_L001_R1","MCL1-LC_BC2CTUACXX_GCCAAT_L001_R1","MCL1-LD_BC2CTUACXX_GGCTAC_L001_R1","MCL1-LE_BC2CTUACXX_TAGCTT_L001_R1","MCL1-LF_BC2CTUACXX_CTTGTA_L001_R1"
"17978",10.8398830522974,11.0496785705848,11.3645110005544,11.3211697522938,11.6738933623322,11.6639035685352,10.8542599019678,10.8747534612694,10.46374638305,10.4420749674357,10.314490035063,10.3403872002016
"72265",10.1715465423145,10.2905354796188,10.1979830750222,10.2400160479971,10.0390366384817,9.94053770359609,10.8383699431089,10.9708032335188,11.9052896164492,11.7201275105012,12.9669378733505,12.9744604661327
"212442",6.90913513019129,6.79277814995617,6.93821639907342,6.95978147062005,7.59884069398222,7.59392268858215,7.90584605952117,7.9952879687023,7.68750404919991,7.70965663069413,9.2648857097335,9.37956641995709
"433273",2.51756139244616,3.28884030886342,3.28323786021161,2.51756139244616,2.51756139244616,3.36950865001622,3.0470161811864,3.53003225992228,3.10705498254269,2.51756139244616,3.85285187941131,4.03554468571179
"14048",7.83147754368168,8.39439512419838,8.45732111091248,8.45629382700816,9.00980711559179,9.33892670332405,3.0470161811864,3.24067564193574,3.10705498254269,3.14158569901462,2.51756139244616,3.30234070334364
"17681",3.67187554583009,3.28884030886342,3.45004754270035,3.32847869757394,3.36406419221135,3.12428935733666,5.74783325101062,5.42647243946095,5.51198215232496,4.79064108396118,3.30644028790486,3.61452447214535
"21749",7.78162727324561,7.70193685494658,7.32798086480842,7.19778685672873,7.51324057448669,7.89754203305613,7.47708528747071,7.43332889910231,7.29143325208042,7.32480975056843,8.13769389708583,7.79069489923518
"226866",9.17512369403826,9.61781236083661,8.35187508398141,8.55579435919348,8.02141241193606,8.03397764846209,4.11793043970019,4.27064248134013,3.52511109612823,4.95750774585749,2.51756139244616,3.30234070334364
"19989",13.394618636902,13.782647150163,13.5294597712489,13.4957873574021,13.2644350911797,13.1201784079289,13.5216796275575,13.421033518496,13.517747033351,13.5377776603931,12.7187248725276,12.6775740376335
"98711",10.8190430588405,10.6165869557507,10.5554037813581,10.1984328390606,10.3528089852773,10.4898089598306,8.75923104048797,9.15376990194994,9.25839874926561,9.39674914760727,7.72376563910213,7.6354354134262
